id,node_id,name,parent_id
1,1,合同阶段,
2,2,交货期,1
3,3,合同签订/评审,1
4,4,合同生效,1
5,5,设计阶段,
6,6,项目内部沟通会议,5
7,7,工艺文件,5
8,8,夹具设计 ,5
9,9,刀具图纸设计、干涉确认,5
10,10,会审阶段,
11,11,项目会审技术准备完整性确认,10
12,12,项目内部会审,10
13,13,项目第一次会审,10
14,14,项目第二次会审,10
15,15,项目内部最终确认,10
16,16,图纸下发阶段,
17,17,机床设计图纸下发,16
18,18,机床设计图纸下发,16
19,19,机床设计图纸下发,16
20,20,单机电气图纸下发,16
21,21,自动化图纸下发（长线外购品明细）,16
22,22,自动化图纸下发（长线设计部品）,16
23,23,自动线图纸下发（所有图纸）,16
24,24,自动化电气图纸下发,16
25,25,夹具（顶尖）外购联络下发,16
26,26,刀具外购联络下发,16
27,27,生产阶段,
28,28,A线完成日期,27
29,29,夹具（顶尖）到货,27
30,30,单机完成日期,27
31,31,刀具到货,27
32,32,自动化部品到货,27
33,33,自动化部品落位,27
34,34,自动化生产安调,27
35,35,自动化电气调试,27
36,36,自动化整线运转,27
37,37,预验收阶段（详细预验收计划）,
38,38,测量技术准备（检具、程序编制）,38
39,39,客户毛坯到货,38
40,40,机床准备确认,38
41,41,刀具安装准备,38
42,42,预验收试切调试,38
43,43,预验收会议,38
44,44,预验收整改,38
45,45,自动线品保出荷检查(含修正),38
46,46,自动线出荷评价会议,38
47,47,发货阶段,
48,48,物品交接发货（刀具、夹具、设备）,47
49,49,拆解捆包,47
50,50,机床发货,47
51,51,自动线发货,47
